magnet,title
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:7146/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E5%B8%95%E4%B8%81%E9%A1%BF%E7%86%8A2.BD.720p.%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%E5%B9%95.mkv"">ftp://ygdy8:ygdy8@yg45.dydytt.net:7146/阳光电影www.ygdy8.com.帕丁顿熊2.BD.720p.中英双字幕.mkv</a>","<font color=""#07519a"">2017年8.2高分喜剧《帕丁顿熊2》BD中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:6083/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E5%A4%AA%E7%A9%BA%E6%95%91%E6%8F%B4.BD.720p.%E4%BF%84%E8%AF%AD%E4%B8%AD%E5%AD%97.mkv"">ftp://ygdy8:ygdy8@yg45.dydytt.net:6083/阳光电影www.ygdy8.com.太空救援.BD.720p.俄语中字.mkv</a>","<font color=""#07519a"">2017年动作冒险《太空救援》BD中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:7145/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E8%9D%B4%E8%9D%B6%E5%85%AC%E5%A2%93.HD.1080p.%E5%9B%BD%E8%AF%AD%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97.mkv"">ftp://ygdy8:ygdy8@yg45.dydytt.net:7145/阳光电影www.ygdy8.com.蝴蝶公墓.HD.1080p.国语中英双字.mkv</a>","<font color=""#07519a"">2017年奇幻爱情《蝴蝶公墓》HD国语中英双字</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:8145/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E5%87%86%E8%AE%B8.BD.720p.%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%E5%B9%95.mkv"">ftp://ygdy8:ygdy8@yg45.dydytt.net:8145/阳光电影www.ygdy8.com.准许.BD.720p.中英双字幕.mkv</a>","<font color=""#07519a"">2017年爱情喜剧《准许》BD中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:3045/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E7%BC%A9%E5%B0%8F%E4%BA%BA%E7%94%9F.BD.720p.%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%E5%B9%95.mkv"">ftp://ygdy8:ygdy8@yg45.dydytt.net:3045/阳光电影www.ygdy8.com.缩小人生.BD.720p.中英双字幕.mkv</a>","<font color=""#07519a"">2017年马特·达蒙科幻喜剧《缩小人生》BD中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:3046/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E7%8E%8B%E7%89%8C%E7%89%B9%E5%B7%A52%EF%BC%9A%E9%BB%84%E9%87%91%E5%9C%88.BD.720p.%E5%9B%BD%E8%8B%B1%E5%8F%8C%E8%AF%AD%E5%8F%8C%E5%AD%97.mkv"">ftp://ygdy8:ygdy8@yg45.dydytt.net:3046/阳光电影www.ygdy8.com.王牌特工2：黄金圈.BD.720p.国英双语双字.mkv</a>","<font color=""#07519a"">2017年动作喜剧《王牌特工2：黄金圈》BD国英双语双字幕</font>"
"<a href=""ftp://dygod3:dygod3@d505.dygod.org:3083/%E6%96%B0%E5%BB%BA%E6%96%87%E4%BB%B6%E5%A4%B9/%5B%E7%94%B5%E5%BD%B1%E5%A4%A9%E5%A0%82www.dy2018.net%5D%5Bone%20piece%5D%5B601%5D.rmvb"">ftp://dygod3:dygod3@d505.dygod.org:3083/新建文件夹/[电影天堂www.dy2018.net][one piece][601].rmvb</a>","<font color=""#07519a"">海贼王one PIECE 第601-676话</font>"
"<a href=""ftp://dygod1:dygod1@119.186.162.141:2081/%E5%9C%A3%E6%96%97%E5%A3%AB%E6%98%9F%E7%9F%A2/%5B%E7%94%B5%E5%BD%B1%E5%A4%A9%E5%A0%82www.dy2018.com%5D%E5%9C%A3%E6%96%97%E5%A3%AB%E6%98%9F%E7%9F%A201.rmvb"">ftp://dygod1:dygod1@119.186.162.141:2081/圣斗士星矢/[电影天堂www.dy2018.com]圣斗士星矢01.rmvb</a>","<font color=""#07519a"">圣斗士星矢Ω Saint Seiya Omega 更新第97话[日语中字]</font>"
"<a href=""ftp://dygod3:dygod3@d505.dygod.org:1155/%E6%96%B0%E5%BB%BA%E6%96%87%E4%BB%B6%E5%A4%B9/%5B%E5%B0%8F%E8%B0%83%E7%BD%91-www.xiaopian.com%5D%E5%90%8D%E4%BE%A6%E6%8E%A2%E6%9F%AF%E5%8D%97701.rmvb"">ftp://dygod3:dygod3@d505.dygod.org:1155/新建文件夹/[小调网-www.xiaopian.com]名侦探柯南701.rmvb</a>","<font color=""#07519a"">名侦探柯南 第701-773话</font>"
"<a href=""ftp://dygod3:dygod3@y069.dydytt.net:1270/%E5%90%8D%E4%BE%A6%E6%8E%A2%E6%9F%AF%E5%8D%97/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E5%90%8D%E4%BE%A6%E6%8E%A2%E6%9F%AF%E5%8D%97-%E6%9F%AF%E5%8D%97%E6%B6%88%E5%A4%B1%E7%89%B9%E5%88%AB%E7%AF%87.rmvb"">ftp://dygod3:dygod3@y069.dydytt.net:1270/名侦探柯南/[阳光电影-www.ygdy8.com]名侦探柯南-柯南消失特别篇.rmvb</a>","<font color=""#07519a"">名侦探柯南2小时特别篇 柯南失踪 史上最惨的两天</font>"
"<a href=""ftp://dygod3:dygod3@y069.dydytt.net:6276/%E5%A6%96%E7%B2%BE%E7%9A%84%E5%B0%BE%E5%B7%B4/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E5%A6%96%E7%B2%BE%E7%9A%84%E5%B0%BE%E5%B7%B4219.rmvb"">ftp://dygod3:dygod3@y069.dydytt.net:6276/妖精的尾巴/[阳光电影-www.ygdy8.com]妖精的尾巴219.rmvb</a>","<font color=""#07519a"">妖精的尾巴FAIRY TAIL 第265话2014</font>"
"<a href=""ftp://dygod3:dygod3@yg69.dydytt.net:1352/%E5%A6%96%E7%B2%BE%E7%9A%84%E5%B0%BE%E5%B7%B4/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E5%A6%96%E7%B2%BE%E7%9A%84%E5%B0%BE%E5%B7%B4001.mp4"">ftp://dygod3:dygod3@yg69.dydytt.net:1352/妖精的尾巴/[阳光电影-www.ygdy8.com]妖精的尾巴001.mp4</a>","<font color=""#07519a"">妖精的尾巴 FAIRY TAIL 第三部ZERO 第012/277话</font>"
"<a href=""ftp://dygod3:dygod3@y069.dydytt.net:3272/%E6%B5%B7%E8%B4%BC%E7%8E%8B/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%5Bone%20piece%5D%5B677%5D.rmvb"">ftp://dygod3:dygod3@y069.dydytt.net:3272/海贼王/[阳光电影-www.ygdy8.com][one piece][677].rmvb</a>","<font color=""#07519a"">海贼王one PIECE 第827话</font>"
"<a href=""ftp://dygod1:dygod1@119.186.162.141:2085/%E7%81%AB%E5%BD%B1%E5%BF%8D%E8%80%85/%5B%E5%B0%8F%E8%B0%83%E7%BD%91-www.xiaopian.com%5D%5Bnaruto%5D%5B481%5D.rmvb"">ftp://dygod1:dygod1@119.186.162.141:2085/火影忍者/[小调网-www.xiaopian.com][naruto][481].rmvb</a>","<font color=""#07519a"">火影忍者疾风传 第481-612话</font>"
"<a href=""ftp://dygod3:dygod3@y069.dydytt.net:6270/%E7%81%AB%E5%BD%B1%E5%BF%8D%E8%80%85/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%5Bnaruto%5D%5B613%5D.rmvb"">ftp://dygod3:dygod3@y069.dydytt.net:6270/火影忍者/[阳光电影-www.ygdy8.com][naruto][613].rmvb</a>","<font color=""#07519a"">火影忍者疾风传 第720话 全</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E7%BB%BC%E8%89%BA%E5%A4%A7%E7%83%AD%E9%97%A820180301.mp4"">ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/[阳光电影-www.ygdy8.com]综艺大热门20180301.mp4</a>","<font color=""#07519a"">综艺大热门-20180301~20180308</font>"
"<a href=""ftp://dygod3:dygod3@y069.dydytt.net:2271/%E5%90%8D%E4%BE%A6%E6%8E%A2%E6%9F%AF%E5%8D%97/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E5%90%8D%E4%BE%A6%E6%8E%A2%E6%9F%AF%E5%8D%97774.rmvb"">ftp://dygod3:dygod3@y069.dydytt.net:2271/名侦探柯南/[阳光电影-www.ygdy8.com]名侦探柯南774.rmvb</a>","<font color=""#07519a"">名侦探柯南 第907话</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6218/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E5%81%B6%E5%83%8F%E7%BB%83%E4%B9%A0%E7%94%9F20180302.mp4""> ftp://ygdy8:ygdy8@yg76.dydytt.net:6218/[阳光电影-www.ygdy8.com]偶像练习生20180302.mp4</a>","<font color=""#07519a"">偶像练习生-20180302~20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6226/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E5%A4%A9%E5%A4%A9%E5%90%91%E4%B8%8A2080309.mkv"">ftp://ygdy8:ygdy8@yg76.dydytt.net:6226/[阳光电影-www.ygdy8.com]天天向上2080309.mkv</a>","<font color=""#07519a"">天天向上-20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6226/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E6%AD%8C%E6%89%8B%E7%AC%AC%E4%BA%8C%E5%AD%A320180309.mkv"">ftp://ygdy8:ygdy8@yg76.dydytt.net:6226/[阳光电影-www.ygdy8.com]歌手第二季20180309.mkv</a>","<font color=""#07519a"">歌手第二季-20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E5%B0%8F%E6%98%8E%E6%98%9F%E5%A4%A7%E8%B7%9F%E7%8F%AD20180301.mp4"">ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/[阳光电影-www.ygdy8.com]小明星大跟班20180301.mp4</a>","<font color=""#07519a"">小明星大跟班-20180301~20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6218/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E6%9C%80%E5%BC%BA%E5%A4%A7%E8%84%91%E7%AC%AC%E4%BA%94%E5%AD%A320180302.mkv""> ftp://ygdy8:ygdy8@yg76.dydytt.net:6218/[阳光电影-www.ygdy8.com]最强大脑第五季20180302.mkv</a>","<font color=""#07519a"">最强大脑第五季-20180302~20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6219/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E7%8E%8B%E7%89%8C%E5%AF%B9%E7%8E%8B%E7%89%8C20180302.mp4"">ftp://ygdy8:ygdy8@yg76.dydytt.net:6219/[阳光电影-www.ygdy8.com]王牌对王牌20180302.mp4</a>","<font color=""#07519a"">王牌对王牌第三季-20180302~20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E5%A8%B1%E4%B9%90%E7%99%BE%E5%88%86%E7%99%BE20180301.mp4"">ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/[阳光电影-www.ygdy8.com]娱乐百分百20180301.mp4</a>","<font color=""#07519a"">娱乐百分百-20180301~20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6221/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E9%87%91%E7%82%B3%E4%B8%87%E7%9A%84%E4%B8%9B%E6%9E%97%E6%B3%95%E5%88%9920180302.mp4%20""> ftp://ygdy8:ygdy8@yg76.dydytt.net:6221/[阳光电影-www.ygdy8.com]金炳万的丛林法则20180302.mp4</a>","<font color=""#07519a"">金炳万的丛林法则-20180302~20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6219/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E4%BA%8C%E5%8D%81%E5%9B%9B%E5%B0%8F%E6%97%B6%E7%AC%AC%E4%B8%89%E5%AD%A320180302.mkv"">ftp://ygdy8:ygdy8@yg76.dydytt.net:6219/[阳光电影-www.ygdy8.com]二十四小时第三季20180302.mkv</a>","<font color=""#07519a"">二十四小时第三季-20180302~20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E9%A3%9F%E5%B0%9A%E7%8E%A9%E5%AE%B620180301.mp4"">ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/[阳光电影-www.ygdy8.com]食尚玩家20180301.mp4</a>","<font color=""#07519a"">食尚玩家-20180301~20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E5%9E%8B%E7%94%B7%E5%A4%A7%E4%B8%BB%E5%8E%A820180301.mp4"">ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/[阳光电影-www.ygdy8.com]型男大主厨20180301.mp4</a>","<font color=""#07519a"">型男大主厨-20180301~20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E5%A5%B3%E4%BA%BA%E6%88%91%E6%9C%80%E5%A4%A720180301.mp4"">ftp://ygdy8:ygdy8@yg76.dydytt.net:6217/[阳光电影-www.ygdy8.com]女人我最大20180301.mp4</a>","<font color=""#07519a"">女人我最大-20180301~20180309</font>"
"<a href=""ftp://ygdy8:ygdy8@yg90.dydytt.net:4001/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com%5D%E5%A4%A9%E8%9D%8E%E7%AC%AC%E5%9B%9B%E5%AD%A3%E7%AC%AC01%E9%9B%86%5B%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%5D.mkv"">ftp://ygdy8:ygdy8@yg90.dydytt.net:4001/[阳光电影www.ygdy8.com]天蝎第四季第01集[中英双字].mkv</a>","<font color=""#07519a"">2017主打美剧《天蝎/天蝎计划 第四季》更新第18集[中英双字]</font>"
"<a href=""ftp://ygdy8:ygdy8@yg72.dydytt.net:7032/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com%5D%E5%9B%BD%E5%9C%9F%E5%AE%89%E5%85%A8%E7%AC%AC%E4%B8%83%E5%AD%A3%E7%AC%AC01%E9%9B%86%5B%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%5D.rmvb"">ftp://ygdy8:ygdy8@yg72.dydytt.net:7032/[阳光电影www.ygdy8.com]国土安全第七季第01集[中英双字].rmvb</a>","<font color=""#07519a"">2018主打美剧《国土安全/反恐危机 第七季》更新第04集[中英双字]</font>"
"<a href=""ftp://ygdy8:ygdy8@yg90.dydytt.net:3037/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com%5D%E6%88%91%E6%98%AF%E5%83%B5%E5%B0%B8%E7%AC%AC%E5%9B%9B%E5%AD%A3%E7%AC%AC01%E9%9B%86%5B%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%5D.rmvb"">ftp://ygdy8:ygdy8@yg90.dydytt.net:3037/[阳光电影www.ygdy8.com]我是僵尸第四季第01集[中英双字].rmvb</a>","<font color=""#07519a"">2018主打美剧《我是僵尸 第四季》更新第02集[中英双字]</font>"
"<a href=""ftp://ygdy8:ygdy8@yg76.dydytt.net:6219/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1-www.ygdy8.com%5D%E6%97%A0%E9%99%90%E6%8C%91%E6%88%9820180303.mkv"">ftp://ygdy8:ygdy8@yg76.dydytt.net:6219/[阳光电影-www.ygdy8.com]无限挑战20180303.mkv</a>","<font color=""#07519a"">无限挑战-20180303~20180310</font>"
"<a href=""ftp://ygdy8:ygdy8@yg90.dydytt.net:2021/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com%5D%E6%98%8E%E6%97%A5%E4%BC%A0%E5%A5%87%E7%AC%AC%E4%B8%89%E5%AD%A3%E7%AC%AC01%E9%9B%86%5B%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%5D.rmvb"">ftp://ygdy8:ygdy8@yg90.dydytt.net:2021/[阳光电影www.ygdy8.com]明日传奇第三季第01集[中英双字].rmvb</a>","<font color=""#07519a"">2017主打美剧《明日传奇 第三季》更新第13集[中英双字]</font>"
"<a href=""ftp://ygdy8:ygdy8@yg90.dydytt.net:3017/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com%5D%E7%8A%AF%E7%BD%AA%E5%BF%83%E7%90%86%E7%AC%AC%E5%8D%81%E4%B8%89%E5%AD%A3%E7%AC%AC01%E9%9B%86%5B%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%5D.rmvb"">ftp://ygdy8:ygdy8@yg90.dydytt.net:3017/[阳光电影www.ygdy8.com]犯罪心理第十三季第01集[中英双字].rmvb</a>","<font color=""#07519a"">2017主打美剧《犯罪心理 第十三季》更新第15集[中英双字]</font>"
"<a href=""ftp://ygdy8:ygdy8@yg72.dydytt.net:7005/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com%5D%E9%97%AA%E7%94%B5%E4%BE%A0%E7%AC%AC%E5%9B%9B%E5%AD%A3%E7%AC%AC01%E9%9B%86%5B%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%5D.rmvb"">ftp://ygdy8:ygdy8@yg72.dydytt.net:7005/[阳光电影www.ygdy8.com]闪电侠第四季第01集[中英双字].rmvb</a>","<font color=""#07519a"">2017主打美剧《闪电侠 第四季》更新第15集[中英双字]</font>"
"<a href=""ftp://ygdy8:ygdy8@yg90.dydytt.net:2019/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com%5D%E9%BB%91%E5%90%8D%E5%8D%95%E7%AC%AC%E4%BA%94%E5%AD%A3%E7%AC%AC01%E9%9B%86%5B%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%5D.rmvb"">ftp://ygdy8:ygdy8@yg90.dydytt.net:2019/[阳光电影www.ygdy8.com]黑名单第五季第01集[中英双字].rmvb</a>","<font color=""#07519a"">2017主打美剧《黑名单/罪恶黑名单 第五季》更新第15集[中英双字]</font>"
"<a href=""ftp://ygdy8:ygdy8@yg90.dydytt.net:2018/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com%5D%E5%93%A5%E8%B0%AD%E7%AC%AC%E5%9B%9B%E5%AD%A3%E7%AC%AC01%E9%9B%86%5B%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%5D.rmvb"">ftp://ygdy8:ygdy8@yg90.dydytt.net:2018/[阳光电影www.ygdy8.com]哥谭第四季第01集[中英双字].rmvb</a>","<font color=""#07519a"">2017主打美剧《哥谭/暗都歌谭 第四季》更新第13集[中英双字]</font>"
"<a href=""ftp://ygdy8:ygdy8@yg90.dydytt.net:2019/%5B%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com%5D%E6%B5%B7%E8%B1%B9%E7%AA%81%E5%87%BB%E9%98%9F%E7%AC%AC%E4%B8%80%E5%AD%A3%E7%AC%AC01%E9%9B%86%5B%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%5D.rmvb"">ftp://ygdy8:ygdy8@yg90.dydytt.net:2019/[阳光电影www.ygdy8.com]海豹突击队第一季第01集[中英双字].rmvb</a>","<font color=""#07519a"">2017主打美剧《海豹突击队 第一季》更新第15集[中英双字]</font>"
